Acidic
Aftertaste
Alcoholic
Aroma
Astringent
Autolytic
Baked
Balanced
Big
Bitter
Body
Bouquet
Brilliance
Buttery
Chewy
Chocolaty
Closed
Cloying
Coarse
Complex
Concentrated
Connected
Corked
Crisp
Depth
Dirty
Dry
Earthy
Elegant
Expressive
Extracted
Fallen over
Fat
Finesse
Finish
Firm
Flabby
Flat
Foxy
Fresh
Fruit
Full
Grassy
Green
Hard
Heavy
Herbal
Herbaceous
Hollow
Hot
Jammy
Lean
Leathery
Legs
Musty
Nose
Oaky
Oxidized
Oxidative
Petrolly
Powerful
Raisiny
Reticent
Rich
Rough
Round
Smokey
Smooth
Soft
Sour
Spicy
Supple
Sweet
Tannic
Tar
Tart
Toasty
Transparency
Typicity
Vanillin
Vegetal
Vinegary
